# Step_Size Forward_Error Central_Error
9.14218e-08 5.48356e-08 1.1514e-11
8.70684e-08 5.22113e-08 8.66775e-12
8.29223e-08 4.97557e-08 1.87273e-11
7.89736e-08 4.73834e-08 3.03745e-12
7.52129e-08 4.51275e-08 2.48832e-12
7.16314e-08 4.29641e-08 2.48833e-12
6.82204e-08 4.09165e-08 2.48834e-12
6.49718e-08 3.90005e-08 3.23665e-11
6.18779e-08 3.70982e-08 1.96978e-11
5.89313e-08 3.53334e-08 1.96978e-11
5.61251e-08 3.36791e-08 2.00413e-11
5.34524e-08 3.20935e-08 2.93138e-11
5.09071e-08 3.04984e-08 3.39707e-11
4.84829e-08 2.90586e-08 1.26731e-11
4.61742e-08 2.76865e-08 1.93902e-12
4.39754e-08 2.63528e-08 3.76296e-11
4.18814e-08 2.50766e-08 4.4533e-11
3.9887e-08 2.39045e-08 1.5539e-11
3.79876e-08 2.28324e-08 4.53483e-11
3.61787e-08 2.16999e-08 3.10771e-12
3.44559e-08 2.06954e-08 3.10772e-12
3.28152e-08 1.96734e-08 8.14233e-12
3.12525e-08 1.87641e-08 2.85599e-12
2.97643e-08 1.78871e-08 5.2812e-11
2.8347e-08 1.69866e-08 4.72936e-12
2.69971e-08 1.62064e-08 1.39088e-11
2.57115e-08 1.54546e-08 3.80047e-11
2.44872e-08 1.46483e-08 5.13913e-11
2.33211e-08 1.38762e-08 1.08065e-10
2.22106e-08 1.33741e-08 5.74399e-11
2.11529e-08 1.2679e-08 8.62531e-12
2.01457e-08 1.21254e-08 7.01318e-11
1.91863e-08 1.15872e-08 1.04575e-10
1.82727e-08 1.10176e-08 1.00055e-10
1.74026e-08 1.0391e-08 2.57345e-11
1.65739e-08 9.84278e-09 4.81629e-11
1.57847e-08 9.40318e-09 6.78678e-12
1.5033e-08 8.96359e-09 2.05242e-11
1.43171e-08 8.66356e-09 1.21494e-10
1.36354e-08 8.16073e-09 1.85048e-11
1.29861e-08 7.80451e-09 5.66715e-11
1.23677e-08 7.46387e-09 1.00086e-10
1.17788e-08 7.07815e-09 8.25533e-11
1.12179e-08 6.5995e-09 4.99948e-11
1.06837e-08 6.47579e-09 1.43305e-10
1.01749e-08 6.23223e-09 1.79838e-10
9.69041e-09 5.74634e-09 1.78726e-11
9.22896e-09 5.62998e-09 1.78986e-10
8.78948e-09 5.44201e-09 2.1188e-10
8.37094e-09 5.05715e-09 8.35933e-11
7.97232e-09 4.8292e-09 4.2147e-11
7.59269e-09 4.60073e-09 1.45504e-10
7.23113e-09 3.88104e-09 3.17154e-10
6.88679e-09 3.74909e-09 2.81169e-10
6.55885e-09 3.76169e-09 7.3359e-11
6.24652e-09 3.77491e-09 2.58233e-11
5.94907e-09 3.62217e-09 1.23022e-10
5.66578e-09 3.25768e-09 4.2833e-11
5.39598e-09 2.99743e-09 2.17416e-10
5.13903e-09 2.96528e-09 9.6031e-11
4.89431e-09 3.31972e-09 4.84223e-10
4.66125e-09 3.05389e-09 2.62701e-10
4.43929e-09 2.42122e-09 1.18762e-10
4.22789e-09 2.2063e-09 2.5553e-10
4.02656e-09 2.14475e-09 9.34712e-12
3.83482e-09 1.95088e-09 3.10921e-10
3.65221e-09 2.24492e-09 1.29977e-10
3.4783e-09 1.88868e-09 3.55592e-10
3.31266e-09 2.0383e-09 2.05477e-10
3.15492e-09 1.35754e-09 2.92004e-10
3.00468e-09 1.11011e-09 3.33242e-10
2.8616e-09 2.12045e-09 3.01831e-10
2.72534e-09 1.393e-09 1.98289e-10
2.59556e-09 1.23387e-09 4.36983e-10
2.47196e-09 1.13362e-09 2.69897e-10
2.35425e-09 2.081e-09 9.75727e-10
2.24214e-09 3.49406e-10 8.1113e-10
2.13537e-09 1.8581e-09 6.3954e-10
2.03369e-09 7.61396e-10 9.15976e-11
1.93685e-09 1.31584e-09 4.20199e-10
1.84462e-09 6.88892e-10 2.51534e-10
1.75678e-09 8.76977e-10 1.1047e-10
1.67312e-09 8.27604e-10 3.09195e-10
1.59345e-09 1.55338e-09 1.00905e-09
1.51757e-09 7.36883e-10 1.65336e-10
1.4453e-09 5.65419e-10 3.47051e-11
1.37648e-09 2.14742e-10 8.44872e-10
1.31093e-09 1.51729e-10 8.13366e-10
1.24851e-09 1.34268e-09 1.34268e-09
1.18906e-09 5.78485e-10 5.78485e-10
1.13243e-09 5.15697e-10 2.5023e-10
1.07851e-09 1.12844e-09 1.12844e-09
1.02715e-09 1.5255e-09 1.5255e-09
9.78239e-10 1.7678e-09 8.8114e-10
9.31656e-10 1.71815e-10 1.71815e-10
8.87292e-10 9.16606e-10 9.16606e-10
8.4504e-10 1.79639e-09 7.69975e-10
8.048e-10 2.41224e-09 1.3345e-09
7.66476e-10 1.44228e-09 1.44228e-09
7.29977e-10 1.72627e-09 5.38063e-10
6.95216e-10 7.68961e-10 7.68961e-10
6.62111e-10 3.2234e-09 3.2234e-09
6.30582e-10 1.82583e-10 1.55808e-09
6.00554e-10 9.25163e-11 1.35175e-09
5.71956e-10 2.94045e-09 2.94045e-09
5.4472e-10 2.97383e-09 1.38153e-09
5.18781e-10 3.45153e-09 1.7796e-09
4.94077e-10 4.28749e-09 2.53197e-09
4.7055e-10 3.05862e-09 3.05862e-09
4.48143e-10 3.61161e-09 3.61161e-09
4.26802e-10 5.14878e-10 1.51735e-09
4.06478e-10 3.15678e-09 1.02294e-09
3.87122e-10 6.57093e-09 4.33039e-09
3.68688e-10 1.8658e-09 4.86759e-10
3.51131e-10 2.10106e-09 3.69131e-10
3.34411e-10 1.24908e-10 2.46879e-09
3.18487e-10 3.50627e-09 3.50627e-09
3.03321e-10 1.5999e-09 1.25965e-09
2.88877e-10 1.83156e-09 1.83156e-09
2.75121e-10 1.53131e-09 1.62135e-09
2.6202e-10 6.2603e-09 2.95001e-09
2.49543e-10 4.93618e-09 1.46037e-09
2.3766e-10 3.05817e-09 3.05817e-09
2.26342e-10 4.15305e-09 7.98513e-09
2.15564e-10 4.53626e-09 8.55994e-09
2.05299e-10 3.10873e-09 3.10873e-09
1.95523e-10 5.64365e-09 5.64365e-09
1.86212e-10 8.10828e-09 8.10828e-09
1.77345e-10 5.77933e-09 5.77933e-09
1.689e-10 1.08494e-08 5.71408e-09
1.60857e-10 1.29036e-08 7.51145e-09
1.53197e-10 1.34428e-08 7.78105e-09
1.45902e-10 5.51636e-09 5.51636e-09
1.38955e-10 6.70533e-09 4.63276e-10
1.32338e-10 1.482e-08 8.26584e-09
1.26036e-10 6.29959e-09 6.29959e-09
1.20034e-10 5.39957e-09 5.39957e-09
1.14318e-10 2.54898e-09 2.54898e-09
1.08875e-10 1.0895e-08 2.92834e-09
1.0369e-10 6.6316e-09 6.6316e-09
